Period 5 (1944-1963),21,142596324233951778687415869
Period 5 (1944-1963),22,349794522431258976885613167
Period 5 (1944-1963),23,147693825936258471582714369
Period 5 (1944-1963),24,147693825936258471582714369
Period 6 (1964-1983),1,955419237146864682591328773
Period 6 (1964-1983),2,753318531642864186297429975
Period 6 (1964-1983),3,753318531642864186297429975
Period 6 (1964-1983),4,656211438547765983192329874
Period 6 (1964-1983),5,854319132943765587498221676
Period 6 (1964-1983),6,854319132943765587498221676
Period 6 (1964-1983),7,359715537448261983894626172
Period 6 (1964-1983),8,152616834943261488597725379
Period 6 (1964-1983),9,152616834943261488597725379
Period 6 (1964-1983),10,852417639741963285396528174
Period 6 (1964-1983),11,154518336245963781699427872
Period 6 (1964-1983),12,154518336245963781699427872
Period 6 (1964-1983),13,559914732641468286195823377
Period 6 (1964-1983),14,357813135246468681792924579
Period 6 (1964-1983),15,357813135246468681792924579
Period 6 (1964-1983),16,656112834745567389291923478
Period 6 (1964-1983),17,458913231349567785894122676
Period 6 (1964-1983),18,458913231349567785894122676
Period 6 (1964-1983),19,953517735844162389498626271
Period 6 (1964-1983),20,251616438349162884795527973
Period 6 (1964-1983),21,251616438349162884795527973
Period 6 (1964-1983),22,258714936147369582693825471
Period 6 (1964-1983),23,451815633542369187996724278
Period 6 (1964-1983),24,451815633542369187996724278
Period 7 (1984-2003),1,864429642753975297318531186
Period 7 (1984-2003),2,166521348257975793612439884
Period 7 (1984-2003),3,166521348257975793612439884
Period 7 (1984-2003),4,967422249158876694513331785
Period 7 (1984-2003),5,765321543654876198219432987
Period 7 (1984-2003),6,765321543654876198219432987
Period 7 (1984-2003),7,263727945154372599618836481
Period 7 (1984-2003),8,461826648559372194915737283
Period 7 (1984-2003),9,461826648559372194915737283
Period 7 (1984-2003),10,965529747856174392411638283
Period 7 (1984-2003),11,263628441352174896717539985
Period 7 (1984-2003),12,263628441352174896717539985
Period 7 (1984-2003),13,468924246357579792813135681
Period 7 (1984-2003),14,661125843752579397216934488
Period 7 (1984-2003),15,661125843752579397216934488
Period 7 (1984-2003),16,769224942851678496315133587
Period 7 (1984-2003),17,567123345456678891912234789
Period 7 (1984-2003),18,567123345456678891912234789
Period 7 (1984-2003),19,362727549451273995816638184
Period 7 (1984-2003),20,164628846955273491519737382
Period 7 (1984-2003),21,164628846955273491519737382
Period 7 (1984-2003),22,569925747658471293114836382
Period 7 (1984-2003),23,362826144253471698717935589
Period 7 (1984-2003),24,362826144253471698717935589
Period 8 (2004-2023),1,977532759868186314423641295
Period 8 (2004-2023),2,275631453364186818729542997
Period 8 (2004-2023),3,275631453364186818729542997
Period 8 (2004-2023),4,876432654765987219321543198
Period 8 (2004-2023),5,178533351269987715624442896
Period 8 (2004-2023),6,178533351269987715624442896
Period 8 (2004-2023),7,572937759661483215126848394
Period 8 (2004-2023),8,374838156265483611729947592
Period 8 (2004-2023),9,374838156265483611729947592
Period 8 (2004-2023),10,376731558467285913822649194
Period 8 (2004-2023),11,174639852963285417528741396
Period 8 (2004-2023),12,174639852963285417528741396
Period 8 (2004-2023),13,779235957868681413324146592
Period 8 (2004-2023),14,572136354463681818927245799
Period 8 (2004-2023),15,572136354463681818927245799
Period 8 (2004-2023),16,678234456567789912123345891
Period 8 (2004-2023),17,871335153962789517426244698
Period 8 (2004-2023),18,871335153962789517426244698
Period 8 (2004-2023),19,275739957166384512621848493
Period 8 (2004-2023),20,473838651562384116927749295
Period 8 (2004-2023),21,473838651562384116927749295
Period 8 (2004-2023),22,673137855764582319228946491
Period 8 (2004-2023),23,471936258369582714825147693
Period 8 (2004-2023),24,471936258369582714825147693
Period 9 (2024-2043),1,386742564475297929831653118
Period 9 (2024-2043),2,188643861979297425534752316
Period 9 (2024-2043),3,188643861979297425534752316
Period 9 (2024-2043),4,989544762871198326435653217
Period 9 (2024-2043),5,287643465376198821732554919
Period 9 (2024-2043),6,287643465376198821732554919
Period 9 (2024-2043),7,485949267376594722831158613
Period 9 (2024-2043),8,683148861772594326237959415
Period 9 (2024-2043),9,683148861772594326237959415
Period 9 (2024-2043),10,287742969178396524633851415
Period 9 (2024-2043),11,485841663574396128939752217
Period 9 (2024-2043),12,485841663574396128939752217
Period 9 (2024-2043),13,683247465574792929138356811
Period 9 (2024-2043),14,881346168979792524435257613
Period 9 (2024-2043),15,881346168979792524435257613
Period 9 (2024-2043),16,989445267178891623534356712
Period 9 (2024-2043),17,782346564673891128237455919
Period 9 (2024-2043),18,782346564673891128237455919
Period 9 (2024-2043),19,584949762673495227138851316
Period 9 (2024-2043),20,386841168277495623732959514
Period 9 (2024-2043),21,386841168277495623732959514
Period 9 (2024-2043),22,782247969871693425336158514
Period 9 (2024-2043),23,584148366475693821939257712
Period 9 (2024-2043),24,584148366475693821939257712
